kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
코젤 라거,KOZEL LAGEL,CZECH REPUBLIC,PILSNER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/98.jpeg
크롬바커 필스,KROMBACHER PILS,GERMANY,PILSNER,,4.8 ,24,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/99.jpeg
크롬바커 바이젠,KROMBACHER WEIZEN,GERMANY,WEIZEN,,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/100.jpeg
크로넨버그 1664,KRONENBOURG 1664,FRANCE,LAGER,,5.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/101.jpeg
크로넨버그 1664 블랑,KRONENBOURG 1664 BLANC,FRANCE,WEIZEN,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/102.jpeg
구미호 아이피에이,KUMIHO IPA,SOUTH KOREA,ALE,,6.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/103.jpeg
구미호 피치 에일,KUMIHO PEACH ALE,SOUTH KOREA,ALE,FRUIT,4.5 ,9,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/104.jpeg
구미호 릴렉스 비어,KUMIHO RELAX BEER,SOUTH KOREA,WEIZEN,FRUIT,4.2 ,14,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/105.jpeg
레페 블론드,LEFFE BLOND,BELGIUM,ALE,,6.6 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/106.jpeg
레페 브라운,LEFFE BRUNE,BELGIUM,ALE,DUNKEL,6.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/107.jpeg
레오,LEO,THAILAND,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/108.jpeg
레츠 프레시 투데이,LETS FRESH TODAY,SOUTH KOREA,ETC,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/109.jpeg
린데만스 애플,LINDEMANS APPLE,BELGIUM,FRUIT,,3.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/110.jpeg
린데만스 크릭,LINDEMANS KRIEK,BELGIUM,FRUIT,,3.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/111.jpeg
린데만스 뻬슈레제,LINDEMANS PECHERESSE,BELGIUM,FRUIT,,2.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/112.jpeg
라이온 라거,LION LAGER,SRI LANKA,LAGER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/113.jpeg
